recipe,temp_C,zmin@cycle9_nm,,h1@cycle3_nm,,h1@cycle5_nm,,h1@cycle9_nm,,d1@cycle3_nm,,d1@cycle5_nm,,d1@cycle9_nm,,w@cycle1_nm,,w@cycle3_nm,,w@cycle5_nm,,w@cycle9_nm,
,,Z-predicted,Z-measured,H3-predicted,H3-measured,H5-predicted,H5-measured,H9-predicted,H9-measured,D3-predicted,D3-measured,D5-predicted,D5-measured,D9-predicted,D9-measured,W-predicted,W-measured,W3-predicted,W3-measured,W5-predicted,W5-measured,W9-predicted,W9-measured
B174,-10,1639.014404,1060,139.9551697,140,145.8753967,146,169.7176361,158,34.28128815,26.8,30.42805862,32.7,18.21355247,20.8,279.6560059,362,259.9282837,406,258.3851318,342,213.6468811,281
B176,-10,3484.845703,3940,361.9274292,380,286.7958984,375,386.5878601,454,104.3645554,86.8,69.50399017,67,44.7736969,47.1,572.0101318,568,524.329895,742,513.6971436,821,520.9869385,881
B177,-10,3173.938232,3150,322.6987915,351,265.9589539,268,364.257782,570,89.53343964,53.6,63.68457413,33.7,35.47488022,45.6,517.9246826,673,478.2962646,911,475.9852905,1080,472.2321167,1180
B178,-10,4157.66748,3490,468.2088013,462,340.4170532,417,415.1144409,372,83.39859772,110,77.58824158,92.5,58.55979919,97,662.3278809,494,596.1986694,363,564.3706665,331,587.8878784,300
B180,-10,3508.094727,,379.4536133,,303.0061646,,365.2480164,,144.8342133,,105.5766678,,67.310112,,625.3145752,,619.1259155,,595.1934204,,586.2880859,
B181,-10,3188.599365,2940,339.1702881,368,271.7064514,295,335.2803345,309,108.5948639,115,76.83792114,47.4,50.86663818,38.3,548.977478,674,516.958374,611,497.2704468,548,495.2884216,580
B182,-10,2592.636963,,339.4380188,,224.0513153,,253.2876434,,32.58096313,,48.90308762,,34.70177841,,469.5495911,,409.5666199,,376.0340576,,318.2062073,
B183,-10,2286.071777,,226.6089935,,205.3241272,,244.7638702,,69.59024811,,52.26766586,,30.97749519,,461.3045959,,448.6557922,,432.291748,,401.7406921,
B184,-10,4076.842285,,464.2586365,,343.7095947,,439.5768127,,107.0363464,,85.09568787,,58.63259125,,666.6682739,,625.1192627,,597.3372192,,625.1681519,
B185,-10,4068.250732,,455.2233887,,348.1303101,,458.8582764,,159.8841705,,102.7974472,,68.71736908,,675.8933105,,650.0462036,,628.0054932,,654.3878784,
B186,-10,3447.442627,,403.1166992,,296.9898682,,338.1600037,,80.74876404,,63.30268097,,43.12659073,,571.5090332,,499.4506226,,476.4964905,,457.0575867,
B187,-10,3970.551514,,81.78060913,,144.9927673,,125.0293274,,96.80221558,,70.12271881,,48.127285,,647.5939331,,612.9889526,,570.7536621,,558.6516724,
B188,-10,3496.070801,,162.4951019,,214.7442322,,231.675415,,115.9180069,,81.04602814,,59.23413086,,613.9654541,,587.5516968,,565.1893311,,558.1607666,
B189,-10,4192.061523,4490,453.1224976,493,346.1793213,460,447.6580505,493,144.0278931,116,99.83031464,112,72.87470245,82.7,655.4116821,810,622.8917847,790,599.7902832,797,629.8595581,850
B190,-10,3883.505859,,463.2700806,,329.2796631,,354.7149048,,71.03981018,,67.10417938,,55.42669296,,663.6806641,,579.4272461,,544.1273804,,525.322937,
B191,-10,3771.523682,6690,403.3762817,790,349.8390808,674,427.7324829,666,123.0447693,203,95.10651398,186,73.50656128,136,653.4532471,641,650.7675781,666,623.156311,633,631.5488892,566
B192,-10,3778.151367,7490,470.4277649,749,360.8701172,670,477.9000244,957,157.6376648,193,112.543541,134,84.84656525,84.3,654.8724976,1230,635.9279175,1180,618.2171021,1370,652.7393188,1550
B193,-10,4003.089844,,455.323822,,340.9398193,,382.3969421,,104.6858826,,77.17485809,,59.91981506,,680.1766968,,627.0562744,,589.0558472,,593.0361328,
B194,-10,3164.376709,,95.12521362,,158.7705078,,157.451416,,101.1972275,,73.07817078,,50.76976013,,591.994812,,569.8880005,,554.8130493,,540.2111816,
B195,-10,2726.858154,,160.028244,,226.0088043,,237.4816589,,40.13587952,,37.97297287,,27.60527229,,474.1689148,,400.3237915,,373.1972351,,303.7264404,
B196,-10,3594.115723,9850,285.0484924,949,307.9317322,862,375.635498,887,117.6467209,267,92.85816193,242,74.80574036,180,644.6156616,912,642.2427979,998,625.0227661,949,637.7155762,924
B197,-10,3933.63623,,216.8696899,,301.9486694,,313.6360779,,135.9434967,,88.68344116,,63.6671257,,655.1286011,,614.1643066,,593.7398071,,609.2525635,
B198,-10,3015.651611,,300.8638611,,247.6110077,,340.0858459,,72.29590607,,52.3025589,,28.48808479,,454.9017639,,429.9716492,,421.8440552,,408.6466675,
B199,-10,3593.577881,,93.59484863,,135.467804,,177.9645081,,161.8462524,,126.231926,,102.9947128,,650.6040039,,644.8078003,,631.9465332,,647.7672119,
B200,-10,3072.381104,2960,323.0956116,316,261.5159607,292,345.6915283,355,86.66588593,73.4,60.86420822,61.5,39.7191925,41.7,513.164856,550,481.5635376,617,464.9753723,665,466.4912415,708
B201,-10,3004.862793,4300,314.909729,427,260.8327332,322,267.6402283,565,45.18227005,46.9,39.71108627,46.9,30.13078499,35.8,448.0750427,642,411.4828186,774,396.4320374,841,360.4723816,912
B202,-10,3783.166016,2420,393.9180298,299,308.8310242,276,406.3467407,336,118.0761185,31.4,79.06134796,34.7,52.52787781,18.2,590.6728516,584,553.1193848,547,535.2966309,564,556.1427612,577
B203,-10,3858.835938,,410.4299622,,316.2159119,,389.1636658,,120.6104584,,83.92103577,,58.81830215,,618.3010864,,568.2334595,,535.4644165,,539.5264893,
B204,-10,3815.948486,4180,393.3246765,429,307.7026978,365,409.0386047,424,108.156517,112,73.05305481,76.9,48.64744568,52.1,590.0341187,722,550.0803223,712,530.0756226,757,553.9380493,821
B205,-10,1719.380737,,151.1169739,,153.7417755,,184.2477722,,42.13224411,,35.23712921,,20.69633865,,323.3830566,,304.5117798,,290.2954102,,232.6043549,
B206,-10,2294.372559,1950,250.629837,215,218.1624603,205,235.9751892,237,53.79335022,53.3,43.36883926,48.4,30.27495384,33.5,397.6571655,497,372.6455688,470,357.0418396,455,305.7577209,463
B207,-10,2787.069336,2900,286.7839355,288,240.8237762,240,321.5657043,331,80.26525116,69.5,57.42554474,57.5,37.26319504,41.7,481.0498657,562,458.1158142,704,444.2450256,744,439.2929688,784
B208,-10,2650.645508,1860,361.8816223,227,227.4339752,207,256.069519,223,32.53723526,41.3,53.09644318,44.6,35.73371124,34.7,462.389679,481,404.9608459,448,370.6924133,415,313.3178711,392
B209,-10,2990.872803,3150,313.8266296,340,255.288208,315,337.9941711,340,88.28695679,71.9,61.95795441,76.9,38.34054184,57,498.648407,687,463.1505737,647,445.8579102,598,437.6030579,623
B210,-10,2923.273438,2890,301.8379517,309,248.7710266,286,334.5526123,354,82.49863434,78.9,57.51765442,60.9,37.08224487,42.8,491.1173706,575,462.0959167,611,445.2702332,638,442.4776306,674
B211,-10,2293.494385,1840,262.2550049,233,201.2302246,200,249.9394379,250,41.27298737,41.3,44.81838608,54.6,27.46752357,41.6,404.565918,528,373.411499,511,354.01297,475,316.5629272,458
B212,-10,3663.542236,3950,379.7479858,380,299.814209,330,402.1003113,469,107.7156906,52.1,72.72395325,62,48.74713898,32.2,585.1865845,613,550.6924438,836,534.5353394,905,556.59198,960
B213,-10,2670.570068,2180,273.7857056,256,231.7526093,230,312.3274536,279,78.2118988,74.4,55.82043457,54.6,34.76931381,57.9,475.8527527,614,453.514801,627,438.7967529,574,433.53479,571
B214,-10,2548.984619,1910,254.7476654,228,218.0848541,211,284.322052,231,70.61647034,46.8,50.92222214,38.3,31.85642433,41.1,440.4974365,670,416.7880249,534,401.5056152,529,381.8003235,529
B215,-10,3477.502197,2250,373.0363159,137,296.8256226,200,380.2280579,461,83.7804718,88.1,61.86593628,88.1,43.83322906,88.1,495.1290588,862,469.1436157,957,464.1732483,1040,462.5094299,1160
B216,-10,2274.843262,,228.32164,,203.950058,,275.6794128,,58.37255478,,43.14028168,,26.5481739,,425.7061157,,404.8790588,,394.6125793,,378.6411438,
B217,-10,3540.283691,,379.7596741,,299.3513794,,357.7401428,,127.2593155,,91.10436249,,61.74146271,,594.7796021,,563.7634277,,533.5507813,,526.0939941,
B218,-10,2475.671387,,345.30896,,213.9770508,,242.8771362,,32.22502899,,48.85842514,,30.8663578,,421.9729614,,375.8900452,,349.2154846,,302.2268982,
B219,-10,3073.550049,,347.7520752,,263.2819214,,310.6904297,,76.88146973,,72.23740387,,46.60584641,,538.2929077,,503.4284668,,477.6481323,,462.9842529,
B220,-10,3262.457031,,364.8121338,,270.921814,,318.3309631,,65.23083496,,65.35890198,,40.83407593,,513.1445923,,462.4686584,,430.6028442,,401.9695435,
B221,-10,3017.950928,,332.6519775,,269.9434509,,347.0042114,,69.87971497,,53.59843445,,35.62863159,,460.1896667,,440.1305237,,431.5074158,,420.2985535,
B222,-10,3743.759277,,382.8006592,,297.5634766,,401.7011414,,108.2450562,,72.1836319,,46.98908234,,570.4018555,,531.8449097,,520.3228149,,542.3736572,
B223,-10,3880.986572,,398.6583557,,310.5558167,,420.6324158,,113.5034561,,75.58480835,,48.69490051,,605.7565918,,556.8186646,,541.5358276,,572.0453491,
B224,-10,3298.720215,,364.4009094,,286.414978,,330.9268799,,111.2961884,,80.29489136,,53.7151413,,568.0817261,,526.0709229,,492.415802,,470.0212097,
B225,-10,2830.341064,,304.7988586,,251.7577362,,331.2362366,,68.35694885,,52.18675232,,34.37871552,,439.9104919,,426.7148438,,421.484314,,411.5005188,
B226,-10,3258.638428,,363.9814453,,275.3989563,,319.223938,,75.7820816,,68.82927704,,44.00676727,,525.7531128,,481.3982239,,451.3625793,,431.2667542,
B227,-10,3425.970459,,354.4410706,,284.9934082,,375.4875183,,113.9391861,,77.53437042,,51.5025177,,562.5025024,,524.7247925,,509.9239807,,520.0928345,
B228,-10,3249.112549,,334.5107422,,268.4012756,,361.0414734,,94.1574173,,64.57604218,,41.92414093,,523.8383789,,492.9273987,,474.9045105,,478.1685486,
B229,-10,4103.743652,,431.9317322,,329.6732788,,440.9412231,,130.9620667,,87.34632874,,55.7249794,,633.3605957,,604.2629395,,584.6240234,,615.5928345,
