descriptor,single_val_r2,single_test_r2,mh_test_r2_best_seed,mh_test_r2_mean5,mh_test_r2_std5,delta_best_minus_single,delta_mean_minus_single
logGamma_SF6_tot,0.9901662468910217,0.9901663064956665,0.7715708613395691,0.7672121405601502,0.013723918695925456,-0.2185954451560974,-0.2229541659355163
pF_SF6,0.9399361610412598,0.9399361610412598,0.5892674922943115,0.5713231682777404,0.018550135197766042,-0.35066866874694824,-0.36861299276351933
spread_SF6,0.9968419671058655,0.9968419671058655,0.7689363956451416,0.7667043447494507,0.030487796900029684,-0.22790557146072388,-0.23013762235641477
qskew_SF6,0.9983775615692139,0.9983775615692139,0.9500218033790588,0.9480624198913574,0.0029483963450909556,-0.04835575819015503,-0.050315141677856445
logGamma_C4F8_tot,0.9983324408531189,0.9983324408531189,0.7807045578956604,0.7469984531402588,0.027069132432343625,-0.2176278829574585,-0.2513339877128601
rho_C4F8,0.9989237189292908,0.9989237189292908,0.9068567156791687,0.9084638237953186,0.00602023993315897,-0.09206700325012207,-0.09045989513397212
spread_C4F8,0.9522145986557007,0.9522148370742798,0.944317102432251,0.8941488862037659,0.05939217559229868,-0.007897734642028809,-0.058065950870513916
