recipe,temp_C,label,w1,w3,w5,w9,w_ratio,w_dip,w_rebound,h_jump,R1_temp,R2_wexplode,R3_bowing,flag
B125,-10,neg,446.0,410.0,412.0,410.0,0.9192825112107623,0.08071748878923767,1.0,0.31629392971246006,False,False,False,False
B126,-10,neg,515.0,473.0,450.0,473.0,0.9184466019417475,0.1262135922330097,1.051111111111111,0.15841584158415842,False,False,False,False
B127,-10,neg,652.0,687.0,662.0,702.0,1.0766871165644172,-0.015337423312883436,1.0604229607250755,0.13846153846153847,False,False,False,False
B128,-10,neg,744.0,724.0,671.0,592.0,0.7956989247311828,0.09811827956989247,0.8822652757078987,0.13060428849902533,False,False,False,False
B132,-10,neg,553.0,479.0,469.0,449.0,0.8119349005424955,0.1518987341772152,0.9573560767590619,0.24096385542168675,False,False,False,False
B134,-10,neg,514.0,518.0,518.0,526.0,1.0233463035019454,-0.007782101167315175,1.0154440154440154,0.22,False,False,False,False
B135,-10,neg,577.0,585.0,558.0,510.0,0.8838821490467937,0.03292894280762565,0.9139784946236559,0.11019283746556474,False,False,False,False
B137,-10,neg,574.0,610.0,604.0,610.0,1.0627177700348431,-0.05226480836236934,1.009933774834437,0.5887096774193549,False,False,False,False
B138,-10,neg,552.0,532.0,539.0,572.0,1.036231884057971,0.036231884057971016,1.0751879699248121,0.07081545064377683,False,False,False,False
B143,0,pos,606.0,689.0,735.0,778.0,1.283828382838284,-0.13696369636963696,1.1291727140783745,0.29554655870445345,True,False,False,True
B166,-10,pos,592.0,532.0,552.0,605.0,1.0219594594594594,0.10135135135135136,1.137218045112782,0.09322033898305085,False,False,True,True
B168,-10,neg,755.0,693.0,733.0,775.0,1.0264900662251655,0.08211920529801324,1.1183261183261184,0.25165562913907286,False,False,False,False
B169,-10,neg,585.0,583.0,551.0,577.0,0.9863247863247864,0.05811965811965812,1.0471869328493648,0.27403846153846156,False,False,False,False
B170,-10,neg,526.0,520.0,486.0,455.0,0.8650190114068441,0.07604562737642585,0.9362139917695473,0.1989247311827957,False,False,False,False
B171,-10,neg,605.0,606.0,614.0,619.0,1.0231404958677686,-0.001652892561983471,1.0214521452145215,0.5338983050847458,False,False,False,False
B173,-10,neg,551.0,590.0,554.0,514.0,0.9328493647912885,-0.0054446460980036296,0.927797833935018,0.015,False,False,False,False
B174,-10,neg,362.0,406.0,342.0,281.0,0.7762430939226519,0.055248618784530384,0.8216374269005848,0.0821917808219178,False,False,False,False
B176,-10,neg,568.0,742.0,821.0,881.0,1.551056338028169,-0.30633802816901406,1.1873315363881403,0.21066666666666667,False,False,False,False
B177,-10,pos,673.0,911.0,1080.0,1180.0,1.7533432392273403,-0.3536404160475483,1.2952799121844127,1.126865671641791,False,True,False,True
B178,-10,neg,494.0,363.0,331.0,300.0,0.6072874493927125,0.3299595141700405,0.9063444108761329,0.1079136690647482,False,False,False,False
B181,-10,neg,674.0,611.0,548.0,580.0,0.8605341246290801,0.18694362017804153,1.0583941605839415,0.1983695652173913,False,False,False,False
B189,-10,neg,810.0,790.0,797.0,850.0,1.0493827160493827,0.024691358024691357,1.0759493670886076,0.07173913043478261,False,False,False,False
B191,-10,neg,641.0,666.0,633.0,566.0,0.8829953198127926,0.0124804992199688,0.8941548183254344,0.1468354430379747,False,False,False,False
B192,-10,pos,1230.0,1180.0,1370.0,1550.0,1.2601626016260163,0.04065040650406504,1.3135593220338984,0.42835820895522386,False,False,True,True
B196,-10,neg,912.0,998.0,949.0,924.0,1.013157894736842,-0.04057017543859649,0.9736564805057956,0.0916754478398314,False,False,False,False
B200,-10,neg,550.0,617.0,665.0,708.0,1.2872727272727273,-0.12181818181818181,1.1474878444084278,0.21575342465753425,False,False,False,False
B201,-10,neg,642.0,774.0,841.0,912.0,1.4205607476635513,-0.205607476635514,1.178294573643411,0.7546583850931677,False,False,False,False
B202,-10,neg,584.0,547.0,564.0,577.0,0.988013698630137,0.06335616438356165,1.0548446069469835,0.21739130434782608,False,False,False,False
B204,-10,neg,722.0,712.0,757.0,821.0,1.1371191135734071,0.013850415512465374,1.1530898876404494,0.16164383561643836,False,False,False,False
B206,-10,neg,497.0,470.0,455.0,463.0,0.93158953722334,0.08450704225352113,1.0175824175824175,0.15609756097560976,False,False,False,False
B207,-10,neg,562.0,704.0,744.0,784.0,1.395017793594306,-0.2526690391459075,1.1136363636363635,0.37916666666666665,False,False,False,False
B208,-10,neg,481.0,448.0,415.0,392.0,0.814968814968815,0.13721413721413722,0.944578313253012,0.0881057268722467,False,False,False,False
B209,-10,neg,687.0,647.0,598.0,623.0,0.9068413391557496,0.12954876273653565,1.0418060200668897,0.07936507936507936,False,False,False,False
B210,-10,neg,575.0,611.0,638.0,674.0,1.1721739130434783,-0.06260869565217392,1.1031096563011458,0.23776223776223776,False,False,False,False
B211,-10,neg,528.0,511.0,475.0,458.0,0.8674242424242424,0.10037878787878787,0.9642105263157895,0.25,False,False,False,False
B212,-10,neg,613.0,836.0,905.0,960.0,1.566068515497553,-0.3637846655791191,1.1483253588516746,0.4212121212121212,False,False,False,False
B213,-10,neg,614.0,627.0,574.0,571.0,0.9299674267100977,0.06514657980456026,0.9947735191637631,0.21304347826086956,False,False,False,False
B214,-10,neg,670.0,534.0,529.0,529.0,0.7895522388059701,0.21044776119402986,1.0,0.0947867298578199,False,False,False,False
B215,-10,pos,862.0,957.0,1040.0,1160.0,1.345707656612529,-0.11020881670533643,1.2121212121212122,1.305,False,True,False,True
