phase,epochs,family,exp,init,finetune_mode,phys7_mode,lr,wd,l2sp,backbone_lr_ratio,loss_type,huber_beta,r2,mae_nm,mape_pct,median_ae_nm,n,best_epoch,val_loss,run_seed,split_seed,drop_tag,trainN,valN,testN,eval_set,num_dropped,ckpt
v7b,-1,zmin,v7b_c-i_true_zeroshot_zmin,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,-2.454308132186464,1129.306396484375,56.15054965019226,1027.81396484375,8,0,,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7b,-1,w,v7b_c-i_true_zeroshot_w,stageB_best,full,full,1e-05,0.0001,0.0,0.1,huber,1.0,0.49933663152095864,48.45698165893555,12.220868468284607,45.404296875,24,0,,2026,2026,v7fixed8,34,34,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/w/best.pth
v7b,-1,h1,v7b_c-i_true_zeroshot_h1,stageB_best,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,0.5752554708601814,31.417116165161133,12.51450628042221,28.12615966796875,24,0,,2026,184,base42,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7b,-1,d1,v7b_c-i_true_zeroshot_d1,stageB_best,full,full,0.0001,0.0001,0.0,0.1,huber,1.0,-0.3030246961109764,22.170392990112305,45.71586549282074,18.220735549926758,24,0,,2026,177,compat85,73,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/d1/best.pth
v7b,3000,zmin,v7b_zmin_l2sp0_ep3000,stageB_best,head_ln,full,1e-06,0.0001,0.0,0.1,huber,1.0,0.8794876314750943,177.60736083984375,9.266085922718048,146.87557983398438,8,3000,0.07293870470797022,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7b,3000,zmin,v7b_zmin_l2sp10_ep3000,stageB_best,head_ln,full,1e-06,0.0001,10.0,0.1,huber,1.0,0.8720162777017881,186.06906127929688,9.737277776002884,164.42868041992188,8,3000,0.073499260431466,2026,2026,v7fixed8,45,45,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/zmin/best.pth
v7b,2000,h1,v7b_h1_l2sp0_ep2000,stageB_best,head_ln,full,0.0001,0.0001,0.0,0.01,huber,1.0,0.8918885157447313,16.385526657104492,7.074948400259018,17.127334594726562,24,1031,0.15761800110340118,2026,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
v7b,2000,h1,v7b_h1_l2sp10_ep2000,stageB_best,head_ln,full,0.0001,0.0001,10.0,0.01,huber,1.0,0.8943984937935531,15.728859901428223,6.881493330001831,15.750038146972656,24,649,0.15627002716064453,2026,184,drop0,30,4,8,test,0,/Users/nyx.wang/workspace/bosch/code/runs_stageB_morph_phys7_paperA_best_by_test_fixedA/h1/best.pth
