recipe,temp_C,family,cycle,cycle_value,pred_nm
B134,-10,zmin,9,9.0,2560.832763671875
B135,-10,zmin,1,1.0,0.0
B135,-10,zmin,2,2.0,0.0
B135,-10,zmin,3,3.0,0.0
B135,-10,zmin,4,4.0,428.8456115722656
B135,-10,zmin,5,5.0,834.5438232421875
B135,-10,zmin,6,6.0,1205.2642822265625
B135,-10,zmin,7,7.0,1548.0501708984375
B135,-10,zmin,8,8.0,1898.2373046875
B135,-10,zmin,9,9.0,3107.781005859375
B136,-10,zmin,1,1.0,0.0
B136,-10,zmin,2,2.0,0.0
B136,-10,zmin,3,3.0,208.43414306640625
B136,-10,zmin,4,4.0,554.0155029296875
B136,-10,zmin,5,5.0,888.7384033203125
B136,-10,zmin,6,6.0,1174.07470703125
B136,-10,zmin,7,7.0,1434.740966796875
B136,-10,zmin,8,8.0,1691.6219482421875
B136,-10,zmin,9,9.0,2971.90869140625
B137,-10,zmin,1,1.0,0.0
B137,-10,zmin,2,2.0,200.215087890625
B137,-10,zmin,3,3.0,829.783935546875
B137,-10,zmin,4,4.0,1378.82861328125
B137,-10,zmin,5,5.0,1916.0299072265625
B137,-10,zmin,6,6.0,2391.474853515625
B137,-10,zmin,7,7.0,2822.75146484375
B137,-10,zmin,8,8.0,3249.79833984375
B137,-10,zmin,9,9.0,3861.259033203125
B138,-10,zmin,1,1.0,0.0
B138,-10,zmin,2,2.0,167.839599609375
B138,-10,zmin,3,3.0,897.7390747070312
B138,-10,zmin,4,4.0,1534.3138427734375
B138,-10,zmin,5,5.0,2139.418212890625
B138,-10,zmin,6,6.0,2660.98388671875
B138,-10,zmin,7,7.0,3159.35107421875
B138,-10,zmin,8,8.0,3696.403076171875
B138,-10,zmin,9,9.0,4130.7412109375
B143,0,zmin,1,1.0,0.0
B143,0,zmin,2,2.0,0.0
B143,0,zmin,3,3.0,0.0
B143,0,zmin,4,4.0,0.0
B143,0,zmin,5,5.0,0.0
B143,0,zmin,6,6.0,0.0
B143,0,zmin,7,7.0,0.0
B143,0,zmin,8,8.0,0.0
B143,0,zmin,9,9.0,2049.155029296875
B144,0,zmin,1,1.0,0.0
B144,0,zmin,2,2.0,0.0
B144,0,zmin,3,3.0,0.0
B144,0,zmin,4,4.0,0.0
B144,0,zmin,5,5.0,0.0
B144,0,zmin,6,6.0,0.0
B144,0,zmin,7,7.0,0.0
B144,0,zmin,8,8.0,0.0
B144,0,zmin,9,9.0,1743.7188720703125
B151,-20,zmin,1,1.0,0.0
B151,-20,zmin,2,2.0,0.0
B151,-20,zmin,3,3.0,200.49806213378906
B151,-20,zmin,4,4.0,672.4694213867188
B151,-20,zmin,5,5.0,1123.710693359375
B151,-20,zmin,6,6.0,1541.7237548828125
B151,-20,zmin,7,7.0,1898.760498046875
B151,-20,zmin,8,8.0,2274.5703125
B151,-20,zmin,9,9.0,3336.90966796875
B166,-10,zmin,1,1.0,0.0
B166,-10,zmin,2,2.0,0.0
B166,-10,zmin,3,3.0,241.6356658935547
B166,-10,zmin,4,4.0,749.2092895507812
B166,-10,zmin,5,5.0,1187.58203125
B166,-10,zmin,6,6.0,1585.0992431640625
B166,-10,zmin,7,7.0,1937.7216796875
B166,-10,zmin,8,8.0,2294.822998046875
B166,-10,zmin,9,9.0,3335.910400390625
B168,-10,zmin,1,1.0,0.0
B168,-10,zmin,2,2.0,0.0
B168,-10,zmin,3,3.0,0.0
B168,-10,zmin,4,4.0,0.0
B168,-10,zmin,5,5.0,0.0
B168,-10,zmin,6,6.0,201.245361328125
B168,-10,zmin,7,7.0,417.8882141113281
B168,-10,zmin,8,8.0,633.80322265625
B168,-10,zmin,9,9.0,2395.9091796875
B169,-10,zmin,1,1.0,0.0
B169,-10,zmin,2,2.0,0.0
B169,-10,zmin,3,3.0,0.0
B169,-10,zmin,4,4.0,0.0
B169,-10,zmin,5,5.0,0.0
B169,-10,zmin,6,6.0,0.0
B169,-10,zmin,7,7.0,117.32842254638672
B169,-10,zmin,8,8.0,310.33306884765625
B169,-10,zmin,9,9.0,2220.560791015625
B170,-10,zmin,1,1.0,0.0
B170,-10,zmin,2,2.0,0.0
B170,-10,zmin,3,3.0,0.0
B170,-10,zmin,4,4.0,0.0
B170,-10,zmin,5,5.0,0.0
B170,-10,zmin,6,6.0,0.0
B170,-10,zmin,7,7.0,140.63662719726562
B170,-10,zmin,8,8.0,329.24932861328125
B170,-10,zmin,9,9.0,2229.795654296875
B171,-10,zmin,1,1.0,0.0
B171,-10,zmin,2,2.0,0.0
B171,-10,zmin,3,3.0,0.0
B171,-10,zmin,4,4.0,0.0
B171,-10,zmin,5,5.0,0.0
B171,-10,zmin,6,6.0,0.0
B171,-10,zmin,7,7.0,0.0
B171,-10,zmin,8,8.0,0.0
B171,-10,zmin,9,9.0,1764.1719970703125
B173,-10,zmin,1,1.0,0.0
B173,-10,zmin,2,2.0,0.0
B173,-10,zmin,3,3.0,0.0
B173,-10,zmin,4,4.0,0.0
B173,-10,zmin,5,5.0,0.0
B173,-10,zmin,6,6.0,0.0
B173,-10,zmin,7,7.0,0.0
B173,-10,zmin,8,8.0,88.21977996826172
B173,-10,zmin,9,9.0,2096.673828125
B174,-10,zmin,1,1.0,0.0
B174,-10,zmin,2,2.0,0.0
B174,-10,zmin,3,3.0,0.0
B174,-10,zmin,4,4.0,0.0
B174,-10,zmin,5,5.0,0.0
B174,-10,zmin,6,6.0,0.0
B174,-10,zmin,7,7.0,0.0
B174,-10,zmin,8,8.0,0.0
B174,-10,zmin,9,9.0,1639.014404296875
B176,-10,zmin,1,1.0,0.0
B176,-10,zmin,2,2.0,0.0
B176,-10,zmin,3,3.0,276.3121337890625
B176,-10,zmin,4,4.0,803.9586791992188
B176,-10,zmin,5,5.0,1292.744140625
B176,-10,zmin,6,6.0,1739.4276123046875
B176,-10,zmin,7,7.0,2151.758544921875
B176,-10,zmin,8,8.0,2545.526611328125
B176,-10,zmin,9,9.0,3484.845703125
B177,-10,zmin,1,1.0,0.0
B177,-10,zmin,2,2.0,0.0
B177,-10,zmin,3,3.0,78.09300231933594
B177,-10,zmin,4,4.0,512.9777221679688
B177,-10,zmin,5,5.0,949.7448120117188
B177,-10,zmin,6,6.0,1335.0389404296875
B177,-10,zmin,7,7.0,1673.9429931640625
B177,-10,zmin,8,8.0,2003.651611328125
B177,-10,zmin,9,9.0,3173.938232421875
B178,-10,zmin,1,1.0,0.0
B178,-10,zmin,2,2.0,260.8025817871094
B178,-10,zmin,3,3.0,980.7750244140625
B178,-10,zmin,4,4.0,1625.2401123046875
B178,-10,zmin,5,5.0,2185.892578125
B178,-10,zmin,6,6.0,2703.740478515625
B178,-10,zmin,7,7.0,3231.546630859375
B178,-10,zmin,8,8.0,3784.48583984375
B178,-10,zmin,9,9.0,4157.66748046875
B180,-10,zmin,1,1.0,0.0
B180,-10,zmin,2,2.0,0.0
B180,-10,zmin,3,3.0,434.6349792480469
B180,-10,zmin,4,4.0,906.2342529296875
B180,-10,zmin,5,5.0,1390.1707763671875
B180,-10,zmin,6,6.0,1807.1942138671875
B180,-10,zmin,7,7.0,2200.188720703125
B180,-10,zmin,8,8.0,2603.366943359375
B180,-10,zmin,9,9.0,3508.0947265625
B181,-10,zmin,1,1.0,0.0
B181,-10,zmin,2,2.0,0.0
B181,-10,zmin,3,3.0,49.0947380065918
B181,-10,zmin,4,4.0,496.19049072265625
B181,-10,zmin,5,5.0,916.1890869140625
B181,-10,zmin,6,6.0,1302.5042724609375
B181,-10,zmin,7,7.0,1666.3858642578125
B181,-10,zmin,8,8.0,2019.3629150390625
B181,-10,zmin,9,9.0,3188.599365234375
